id;title__en;description__en;icon;tags;props__url;props__scheme;props__osi_approved
0BSD;BSD Zero Clause License;;;all;http://landley.net/toybox/license.html;spdx;y
Abstyles;Abstyles License;;;all;https://fedoraproject.org/wiki/Licensing/Abstyles;spdx;y
Adobe-2006;Adobe Systems Incorporated Source Code License Agreement;;;all;https://fedoraproject.org/wiki/Licensing/AdobeLicense;spdx;y
Adobe-Glyph;Adobe Glyph List License;;;all;https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph;spdx;y
ADSL;Amazon Digital Services License;;;all;https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense;spdx;y
AFL-1.1;Academic Free License v1.1;;;all;http://wayback.archive.org/web/20021004124254/http://www.opensource.org/licenses/academic.php;spdx;y
AFL-1.2;Academic Free License v1.2;;;all;http://wayback.archive.org/web/20021204204652/http://www.opensource.org/licenses/academic.php;spdx;y
AFL-2.0;Academic Free License v2.0;;;all;http://wayback.archive.org/web/20060924134533/http://www.opensource.org/licenses/afl-2.0.txt;spdx;y
AFL-2.1;Academic Free License v2.1;;;all;http://opensource.linux-mirror.org/licenses/afl-2.1.txt;spdx;y
AFL-3.0;Academic Free License v3.0;;;all;https://opensource.org/licenses/afl-3.0;spdx;y
Afmparse;Afmparse License;;;all;https://fedoraproject.org/wiki/Licensing/Afmparse;spdx;y
Against-DRM;Against DRM;;;all;https://opendefinition.org/licenses/against-drm;spdx;y
AGPL-1.0;Affero General Public License v1.0;;;all;http://www.affero.org/oagpl.html;spdx;y
AGPL-1.0-only;Affero General Public License v1.0 only;;;all;http://www.affero.org/oagpl.html;spdx;y
AGPL-1.0-or-later;Affero General Public License v1.0 or later;;;all;http://www.affero.org/oagpl.html;spdx;y
AGPL-3.0-only;GNU Affero General Public License v3.0 only;;;all;https://opensource.org/licenses/AGPL-3.0;spdx;y
AGPL-3.0-or-later;GNU Affero General Public License v3.0 or later;;;all;https://opensource.org/licenses/AGPL-3.0;spdx;y
AGPL-3.0;GNU Affero General Public License v3.0;;;all;https://opensource.org/licenses/AGPL-3.0;spdx;y
Aladdin;Aladdin Free Public License;;;all;http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm;spdx;y
AMDPLPA;AMD's plpa_map.c License;;;all;https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License;spdx;y
AML;Apple MIT License;;;all;https://fedoraproject.org/wiki/Licensing/Apple_MIT_License;spdx;y
AMPAS;Academy of Motion Picture Arts and Sciences BSD;;;all;https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD;spdx;y
ANTLR-PD;ANTLR Software Rights Notice;;;all;http://www.antlr2.org/license.html;spdx;y
ANTLR-PD-fallback;ANTLR Software Rights Notice with license fallback;;;all;http://www.antlr2.org/license.html;spdx;y
Apache-1.0;Apache License 1.0;;;all;http://www.apache.org/licenses/LICENSE-1.0;spdx;y
Apache-1.1;Apache License 1.1;;;all;https://opensource.org/licenses/Apache-1.1;spdx;y
Apache-2.0;Apache License 2.0;A permissive license whose main conditions require preservation of copyright and license notices. Contributors provide an express grant of patent rights. Licensed works, modifications, and larger works may be distributed under different terms and without source code.;;recommended,all,software;https://opensource.org/licenses/Apache-2.0;spdx;y
APAFML;Adobe Postscript AFM License;;;all;https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM;spdx;y
APL-1.0;Adaptive Public License 1.0;;;all;https://opensource.org/licenses/APL-1.0;spdx;y
APSL-1.0;Apple Public Source License 1.0;;;all;https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0;spdx;y
APSL-1.1;Apple Public Source License 1.1;;;all;http://www.opensource.apple.com/source/IOSerialFamily/IOSerialFamily-7/APPLE_LICENSE;spdx;y
APSL-1.2;Apple Public Source License 1.2;;;all;http://www.samurajdata.se/opensource/mirror/licenses/apsl.php;spdx;y
APSL-2.0;Apple Public Source License 2.0;;;all;http://www.opensource.apple.com/license/apsl/;spdx;y
Artistic-1.0;Artistic License 1.0;;;all;https://opensource.org/licenses/Artistic-1.0;spdx;y
Artistic-1.0-cl8;Artistic License 1.0 w/clause 8;;;all;https://opensource.org/licenses/Artistic-1.0;spdx;y
Artistic-1.0-Perl;Artistic License 1.0 (Perl);;;all;http://dev.perl.org/licenses/artistic.html;spdx;y
Artistic-2.0;Artistic License 2.0;;;all;https://opensource.org/licenses/artistic-license-2.0;spdx;y
AAL;Attribution Assurance License;;;all;https://opensource.org/licenses/attribution;spdx;y
Bahyph;Bahyph License;;;all;https://fedoraproject.org/wiki/Licensing/Bahyph;spdx;y
Barr;Barr License;;;all;https://fedoraproject.org/wiki/Licensing/Barr;spdx;y
Beerware;Beerware License;;;all;https://people.freebsd.org/~phk/;spdx;y
BitTorrent-1.0;BitTorrent Open Source License v1.0;;;all;http://sources.gentoo.org/cgi-bin/viewvc.cgi/gentoo-x86/licenses/BitTorrent?r1=1.1&r2=1.1.1.1&diff_format=s;spdx;y
BitTorrent-1.1;BitTorrent Open Source License v1.1;;;all;http://directory.fsf.org/wiki/License:BitTorrentOSL1.1;spdx;y
